essay,score
"(가)와 (나)는 경쟁에 대해 상반된 입장을 보인다. (가)는 경쟁을 긍정적 상호작용이라 본다. 남과 경쟁하고자 하는 마음은 인간 본성이자 사회의 원동력이다. 경쟁은 개인의 능력을 최대치로 이끌었고 이는 또 경쟁을 부추겼다. 따라서 경쟁의 힘으로 건강한 경쟁 사회를 만들자고 주장한다. 반면, (나)는 경쟁을 오해에 기인한 부정적 현상이라고 본다. 오랜 기간 경쟁의 근거가 되었던 진화론은 양육강식도, 적자생존도 주장하지 않는다. 진화론은 다양성이 생태계의 원동력이라고 주장한다. 즉, 다양성을 죽이는 경쟁을 기피하고, 공존하는 삶을 추구하자고 강조한다.",4
"‘경쟁’에 대해서는 제시문 (가)와 제시문 (나)에서 다르게 다루고 있다. (가)는 사회에서의 경쟁을 말한다. 경쟁 사회 속에서 경쟁은 불가피한 것이며 긍정적인 상호작용이라고 주장한 반면 (나)는 생물 간 자원경쟁에 대해 이야기한다. 다양성은 생물체가 진화하게 하지만 자원에 대한 생물의 경쟁을 야기하고 공생이 진화의 원동력이라고 말한다. (가)가 위와 같이 주장한 근거는 경쟁심은 필요한 것을 얻게 해주기 때문이고, (나)는 생명체들이 자원을 차지하기 위해 싸움을 벌이기 보다는 상부상조하려고 하기 때문에 위와 같이 주장한 것이다.",3
"(가)는 경쟁을 필연적인 요소로, (나)는 경쟁을 공존으로 대체될 수 있는 것으로 바라본다. (가)는 경쟁심을 인간의 본능이라고 주장한 홉스의 주장을 바탕으로, 경쟁을 삶의 불가피한 요소라고 제시한다. 또한 경쟁은 서로의 역량을 키우는 긍정적인 상호작용을 이끌어 낼 수 있다. 이러한 경쟁은 언제나 존재했던 것이므로, 공정한 경쟁을 위한 노력이 필요하다고 주장한다. (나)는 경쟁을 지지하는 논리로 쓰이던 진화론이 사실 공존의 논리임을 제시한다. 진화론에서 강약의 우열이 아닌 다양성이 진화의 방식임을 제시하기 때문이다. 따라서 경쟁보다는 공존을 중시하며 살아가야 한다고 주장한다.",4
"가와 나는 경쟁에 대한 서로 다른 입장을 취하고 있다. 가에서 경쟁은 불가피한 것으로 경쟁 자체는 선택하는 것이 아니다. 반면, 나에서는 경쟁의 시대가 가고 공존의 시대가 올 것이라고 주장한다. 가는 경쟁을 인간의 의욕을 고취시킬 수 있는 긍정적 상호작용으로 인식하지만 나는 경쟁을 한정된 자원을 위한 약육강식의 과정으로 인식한다. 가는 경쟁이 사회의 원동력이자 가치라고 주장하는 것에 비해 나는 다양성과 화합이 사회의 최대 가치라고 주장한다. 가는 경쟁의 긍정적인 면을 부각하여 경쟁을 전제 하에 공정함을 말한 것에 반면 나는 경쟁이 아닌 공존의 가치를 부각하여 말한다. ",4
"제시문 (가)와 제시문 (나)는 공통적으로, 경쟁은 불가피한 것이라고 주장하고 있다. 그러나 경쟁 논리에 대해서는 상이한 입장을 보인다.
제시문 (가)는 경쟁을 각자의 의지와 노력을 끌어올릴 수 있는 도구로 삼을 때 긍정적인 효과를 얻을 수 있다고 주장한다. 그러므로 경쟁이 일어나지 않도록 하는 것보다 경쟁의 긍정적 효과에 집중하여 이를 이용해야한다고 본다. 반면, 제시문 (나)는 ‘공생 진화론’을 바탕으로 경쟁보다 모두가 제 이익을 챙기고 공존할 수 있는 상부상조를 강조한다. 이에 대한 근거로 싸움을 벌이기보다 공존을 택한 생물 종들이 다양할 수 있었던 것을 제시한다.",4
두 제시문은 사회에서 일어나는 경쟁에 대한 글로 (가)는 경쟁을 긍정하고 어떻게 경쟁하는지가 중요하다고 생각하는 반면 (나)는 경쟁을 부정하고 공존의 필요성을 주장한다. (가)에 의하면 경쟁은 인간의 본능이기 때문에 경쟁은 필연적이며 경쟁자들은 경쟁하는 과정에서 서로 더 발전할 수 있다. 따라서 경쟁을 피하지 말고 공정한 경쟁을 위해 노력하는 것이 필요하다. 하지만 (나)는 다윈의 진화론을 통해 이를 부정한다. 생물체들은 한정된 자원을 두고 획일적으로 경쟁하기보다는 다양한 형태의 진화를 통해 서로 공존하기를 택한다는 것이다.,4
"제시문 (가)와 (나)는 경쟁의 태도에 대한 차이를 보인다. 전자는 경쟁에 대해 긍정적인 태도를 갖지만 후자는 경쟁에 대한 부정적 태도를 갖는다.
 (가)에서 경쟁은 인간의 삶의 필수 요소이다. 인간은 경쟁을 통해 필요한 것들을 얻을 수 있고 상대와 선의의 경쟁을 하며 자신의 능력을 기를 수 있다. 다만 공정한 경쟁이 될 수 있도록 계속 노력해야한다. 그러나 (나)에서 경쟁은 사회 구성원의 우열을 가려 불평등을 야기한다. 부족한 자원을 얻기 위해 서로를 인정하지 않는 것이다. 때문에 경쟁은 바람직하지 않다.",3
" 제시문 (가)와 (나)는 모두 경쟁이 불가피함을 주장한다. 그런데 경쟁의 발생 원인과 그에 대한 태도에 대해서는 서로 상반된 입장을 보인다. (가)는 경쟁이 인간의 본능으로부터 비롯된다고 주장하지만, (나)는 자원의 한정을 그 원인으로 파악한다. (가)는 경쟁을 사회 발전과 상호 이익을 도모할 수 있는 긍정적인 요소로 인식한다. 경쟁과 발전이 선순환을 이룰 수 있다는 것이다. 반면, (나)는 경쟁을 바람직한 생태계를 이루는 과정에서의 걸림돌이 되는 부정적인 요소로 인식한다. 경쟁보다는 오히려 화합과 공존의 가치를 중시할 때, 삶의 가치를 극대화할 수 있다고 주장한다.",5
"제시문 [가]에서는 경쟁을 사회 발전의 원동력으로 보고 있는 반면 제시문 [나]에서는 경쟁은 생명체의 원동력이 될 수 없다고 본다. [가]는 경쟁으로 인해 더 뛰어난 사람과 그렇지 않은 사람이 구별되며 여기에서 각자의 부족함을 인정할 수 있고, 이를 채우기 위해 노력할 수 있다는 점을 들어 경쟁의 효용성을 주장하고 있다. 이와 달리 [나]에서는 실제 생명체들은 경쟁보다는 공존을 생존 방식으로 택했다는 공생 진화론을 예시로 경쟁은 무의미하다고 주장한다.",4
"제시문 (가)는 경쟁을 인간의 본성으로서 불가피하다고 본다. 경쟁의 불가피함을 순기능으로서 강조하고 있다. 적자생존의 법칙에 따라 강자의 이익만 대변한다는 입장에 반기를 들며 (가)는 경쟁은 사회에 있어서 필수적인 요소로 자리 잡았다고 한다.
제시문 (나)에서는 진화론에 대한 오해를 언급하며 바로잡지만 경쟁을 부정적인 면에서 바라보고 있다. (나)는 경쟁 자체는 부정적인 측면에서 바라보지만 경쟁을 인정하고 공존의 가치를 강조하고 있다.
(가)와 (나)에서는 앞으로도 계속될 경쟁을 기피할 수 없음으로 경쟁을 인정하자고 공통적으로 바라보고 있다.",3
 (가)와 (나)는 모두 경쟁이 필연적으로 발생한다고 본다. 반면 두 제시문은 진화의 원동력과 경쟁에 대해 상이한 관점으로 제시한다.  먼저 (가)는 경쟁의 긍정적인 면을 활용하여 진화의 원동력으로 경쟁이 될 수 있다고 주장한다. 이에 따르면 경쟁은 상대방과 적대감을 형성하는 행위가 아닌 성장을 위한 개인의 의욕과 노력을 고취시키는 활동인 것이다.  한편 (나)는 진화의 원동력은 경쟁이 아닌 공생이라고 주장한다. 이에 따르면 경쟁은 한정된 자원을 차지하기 위한 싸움에 불과하므로 사회 발전을 위해 다양성을 인정하고 더불어 살아가는 공생이 필요한 것이다.,5
" (가)와 (나)는 공통적으로 경쟁이 우리 삶에서 떼어낼 수 없는 불가피한 것이라고 인식한다. 그러나 경쟁 발생의 원인과, 경쟁을 수용하는 태도의 측면에서 차이를 갖는다. 원인의 측면에서 (가)는 경쟁심이 인간의 본능이라고 주장하는 반면 (나)는 한정된 자원으로 인해 불가피하게 경쟁이 발생한다고 본다. 경쟁을 수용하는 태도의 측면에서 (가)는 경쟁이 개개인의 의욕과 노력을 더 이끌어내는 긍정적인 상호작용이라고 간주한다. 반면에, (나)는 다양성과 화합이 최대의 가치로 여겨지는 시대가 도래하고 있기 때문에 경쟁보다는 공존을 추구해야 한다고 주장한다. ",5
" (가)는 인간의 본성인 경쟁심으로부터 개인의 긍정적인 역량을 이끌어내는 경쟁의 순기능을 강조하며 경쟁을 부정적으로 보는 사람들에 대한 오해를 풀고 우리 사회에서 공정한 경쟁은 필수적 요소라고 주장한다.
 (나)는 진화론에 대한 보편적인 통념을 지적하며 여러 생물 종들은 생존을 위해 경쟁이 아닌 공존을 통해 진화하였고 앞으로의 사회에서도 화합을 기반으로 한 공생관계가 지속되어야 한다고 주장한 부분에서 경쟁을 사회 발전의 필수적 요소로 본 (가)의 내용과 상충한다. 또한 (나)는 경쟁을 싸움으로 보는 시각에 그쳤지만, (가)는 경쟁의 다양한 면을 관찰하였다.",3
 (가)와 (나)는 공통적으로 사회가 지속적으로 진화했음을 주장한다. (가)는 경쟁이 인간을 더욱 발전시킨다고 생각한다. (가)의 홉스는 경쟁심은 인간에게 불가피한 것이라고 보았다. (가)는 경쟁을 타인 간 긍정적 상호작용이라고 주장하며 앞으로 경쟁에 대한 논의는 공정성 안에서 이뤄져야 한다고 주장한다. 그러나 (나)의 경우에는 공생을 통해 인간이 더욱 발전할 수 있다는 입장이다. 공생 진화론은 사회가 한정된 자원 안에서 경쟁보다는 다양성과 화합을 통해 진화해왔다는 입장이다. 자연 선택의 다양성 덕에 생물들은 상부상조 전략을 구사하여 더욱 진화한 생물로 발전했다.,4
 (가)와 (나)는 경쟁이 보편적이라는 점에서 공통적이면서도 서로 다른 견해를 보인다.(가)에 따르면 경쟁은 인간의 본능에 해당하는 불가피한 것으로 의욕과 노력을 고취시켜 더 나은 성과를 이끄어내는 긍정적 상호작용이므로 경쟁의 긍정적 측면을 강화하고 더 나은 방식으로 경쟁하는 법을 배우는 것이 낫다고 본다.반면에 (나)에 따르면 경쟁은 불가피하지만 생물은 변이의 다양성에 따라 서로 경쟁하기보다는 공존의 방법을 모색한다.생물 사이에는 우열이 없고 더 잘 적응하기 위한 방식이라는 점에서 모두가 평등하기 때문에 경쟁만을 고집할 필요가 없다는 것이다.,4
"제시문 (가)와 (나)는 모두 ‘경쟁’의 불가피함을 인정하되 약육강식의 경쟁은 바람직하지 못하다고 본다. 다만, (가)는 공정한 방향으로 경쟁하기 위해 노력해야 한다는 입장인 반면 (나)는 경쟁보단 공생을 통한 화합이 더 중요하다는 입장이다. 더불어 (가)와 (나)는 경쟁의 원인을 바라보는 관점에서 차이를 보인다. (가)는 경쟁심을 인간의 본능이라 보았지만 (나)는 공생 진화론을 통해 상부상조하려는 공생의 본능을 주장한다. 이처럼 경쟁을 추구하는 (가)와 (나)가 추구하는 바람직한 사회의 모습도 다르다. (가)는 경쟁의 긍정적 상호작용을 통해 경쟁을 지속해야 한다고 본았지만 (나)는 더불어 공존하는 사회의 도래를 주장한다.",4
제시문 (가)는 경쟁을 당연한 것이라고 보고 있으며 경쟁은 언제어디서나 있었다고 주장하고 있다. 또한 경쟁을 나쁘다고 볼게 아니라 좋은점을 배워야 하며 경쟁을 하냐마냐가 아닌 어떻게 경쟁할 것인가를 생각해 봐야 한다고 말하고 있다. 제시문 (나)는 생물마다 다양성이 있으며 경쟁을 통해 다투기 보다는 서로 상생을 하는 것이 필요하며 서로간에 공존을 하고 다같이 사는 것 즉 서로 상부상조 하는 것이 필요하다고 한다.,3
"(가)는 경쟁을 긍정적으로, (나)는 경쟁을 부정적으로 서술한다. (가)는 경쟁으로 인한 갈등과 승자독식과 같은 모습은 경쟁을 오해하는 것이라 말하며 경쟁을 개인이 노력하는 근거로 본다. 또한 경쟁은 지속되었고 앞으로도 계속될 경쟁에 있어서 공정한 경쟁의 방식을 고민해야 한다고 주장한다. 반면 (나)는 경쟁 그 자체를 당연하다고 오해했으며 경쟁을 제한된 자원을 놓고 갈등하게 되는 원인으로 본다. 생물군에서 경쟁뿐만이 아니라 공생을 이룬 경우도 많으므로 지속되어온 경쟁의 대안으로서 화합을 추구하는 공존의 논리를 주장한다. ",3
"(가)는 한정된 자원을 쟁취하기 위해 경쟁은 필수라고 주장한다. 경쟁이 꼭 나쁜 것만은 아니다. 경쟁은 동기를 부여하고, 결과에 승복하는 자세를 통해 성장하는 긍정적 상호작용을 이끌어내기도 한다. 그러므로 인류는 경쟁을 투명하고 공정하게 만들어야 한다. 반면 (나)는 경쟁은 필수가 아니므로 굳이 경쟁을 할 필요가 없다고 주장한다. 다윈도 모든 생명체에는 우열이 없으며 변화는 외부의 힘, 즉 경쟁 없이 우연히 이루어진다고 서술한다. 다윈이 찾은 생물체의 경쟁력은 ‘다양성’이다. 그러므로 획일화를 부추기는 경쟁보다 다양성을 존중하는 공존을 우선의 가치로 두어야 한다.",4
"(가)에서는 경쟁을 불가피한 것이라고 하며 경쟁의 긍정적 측면을 활용하여 공정한 경쟁을 추구해야 한다고 주장한다. 또한 경쟁을 통해 어떤 것을 얻기 위한 욕구와 노력을 증진되고 경쟁자들이 서로를 인정하며 발전해나가는 긍정적 상호작용이라고 한다. 반면, (나)는 경쟁보다는 공존에 주목한다. (나)에서는 사회의 경쟁 구도를 설명할 때 주로 쓰이는 다윈의 진화론이 경쟁이 아닌 공존을 기반으로 되어 있다고 한다. 또한 앞으로 시대가 변화하면서 경쟁의 시대가 가고 공존과 화합의 시대가 올 것이라고 주장한다.",3
(가)는 인간을 이기적이고 공격적인 존재로 보았다. 경쟁심은 인간의 본성이기 때문에 경쟁은 우리 삶에서 불가피 한 것이다. 그래서 우리는 사회에서 경쟁의 긍정적인 면을 활용할 수 있는 방법과 공정한 경쟁의 방법을 모색해야한다고 하였다. (나)는 자원은 한정되어 있으나 다양한 생물종이 살기 때문에 경쟁은 불가피하다고 보았다. 하지만 경쟁보다는 서로 공존할 수 있는 상부상조 전략을 추구해야 한다고 하였다. (가)와 (나) 모두 경쟁을 불가피한 것으로 보았다. 하지만 (가)는 우리 사회에서 경쟁이 앞으로도 지속 될 것이라고 하였지만 (나)는 사회가 경쟁이 아닌 화합과 공존과 더불어 사는 삶의 가치를 추구 할 것이라고 하였다.,4
"(가), (나)는 모두 삶에서 경쟁을 불가피한 것으로 간주하지만 생명체의 본질과 경쟁에 대한 해결 방안에서 차이점을 보인다.
 먼저, (가)에 따르면 경쟁은 인간의 본질이며 해결책은 평등한 경쟁의 추구이다. 인간의 악한 본성으로부터 야기되는 경쟁은 동기부여와 같이 긍정적인 영향도 가지며 이를 활성화해야 한다는 것이다.
 다음으로, (나)에 따르면 생명체의 본질은 경쟁보다 공존과 유사하다. 또한, 불가피한 경쟁에 대한 해결책은 생명체 간의 공존이다. 진화론과 같이 다양성에 의해 야기되는 경쟁은 생명체의 화합 및 공생으로 해결할 수 있다는 것이다.  
",5
" (가)와 (나)는 경쟁을 통해 사회의 긍정적인 영향을 준다는 공통점이 있다. 그러나 (가)의 경쟁은 타인들과의 경쟁이고, (나)의 경쟁은 환경에 적응하려는 자신과의 경쟁이라는 점에서 차이가 있다.
 (가)에서 경쟁은, 타인과 투쟁하여 원하는 것을 얻는 것이며, 사회의 긍정적인 상호작용이 일어난다. 경쟁은 계속되기 때문에 공정한 경쟁을 고민해야 한다고 주장한다.
 (나)에서 경쟁은, 환경에 적응하기 위한 자신과의 경쟁으로, 이를 통해 다양성이 나타난다는 진화론을 근거로 한다. 또한 앞으로의 미래는 다양성과 공존이 더불어 있는 사회라고 주장한다.",4
" (가)는 경쟁이 인간의 본성 중 하나로서 인간 사회의 필수적인 요소이기 때문에 경쟁을 반대하기보다 경쟁의 긍정적 면모를 활용할 필요가 있다고 본다. 반면 (나)는 흔히 경쟁 사회의 근거가 되는 다윈의 진화론이 실제로는 경쟁보다 공존에 초점을 두고 있음을 밝히며 공존이 경쟁보다 더 높은 가치를 가지는 사회가 오고 있다고 설명한다. 경쟁의 의미에 대해 (가)는 경쟁이 서로를 인정하고 각자의 의욕을 이끌어내는 긍정적 상호작용이라고 보는 한편 (나)는 경쟁이 약육강식, 적자생존, 획일성 등과 깊이 연관된 부정적 사회상의 일부라고 보고 있다.",4
가와 나는 공통적으로 경쟁이 우리 삶에서 떼어낼 수 없는 불가피한 것이라고 인식한다. 그러나 경쟁이 발생하는 원인과 경쟁을 받아들이는 태도의 측면에서 차이를 갖는다. 원인의 측면에서 가는 경쟁심이 인간의 본능이라고 이야기하는 반면 나는 자원으로 인해 어쩔 수 없이 경쟁이 발생한다고 본다. 경쟁을 수용하는 태도의 측면에서 가는 경쟁이 개개인의 의욕과 노력을 더 이끌어내는 긍정적인 상호작용이라고 간주한다. 반면에 나는 다양성과 화합이 최대의 가치로 여겨지는 시대가 도래하고 있기 때문에 경쟁보다는 공존을 추구해야 한다고 주장한다.,5
"제시문 (가)와 (나)는 경쟁에 대해 상반된 견해를 보여준다.(가)는 경쟁에 대해 긍정적인데 인간의 삶에 꼭 필요한 것이라고 본다.인간은 경쟁을 통해서 서로를 배제하는 것이 아니라 의욕과 노력을 이끌어 내는 긍정적 상호작용을 한다.따라서 앞으로 공정한 경쟁을 추구하는 삶이 필요하다고 말한다.반면 (나)는 경쟁에 대해 부정적으로 본다.진화론에 따르면 다양한 생명체들은 우열이 없고 양육강식,적자생존이 아닌 서로 공존하는 방식을 찾는다고 한다.따라서 경쟁을 추구하는 삶보다 공존 즉,다양성과 화합,더불어 사는 삶이 필요하다고 말한다.",4
"(가)는 경쟁을 우리 삶에 있어 불가피 한 것이라 여겼지만, 이를 모두가 함께 고민하여서 긍정적인 방향으로 활용해야 한다고 주장하였지만, (나)는 경쟁은 우리 삶에 있어서 한정된 자원을 가지고 경쟁하는 것은 나타날 수밖에 없지만, 경쟁을 추구하기보다는 공존을 추구해 미래에 공존과 화합을 할 수 있는 사회로 변화할 수 있도록 도모해야한다고 주장하였다.   ",3
"제시문(가)와 제시문(나)는 경쟁을 서로 다른 관점에서 바라보고 있다. 제시문(가)는 경쟁을 긍정적인 상호작용으로 바라보고 있으며 동서고금을 막론하고 대부분의 사회에서 나타나는 인간의 본성이라고 설명한다, 이와 함께 경쟁은 찬반의 논의의 대상이 아닌, 더욱 공정한 방식으로 이뤄질 수 있도록 논의가 되어야하는 대상으로 바라보고 있다. 반면에 제시문(나)는 경쟁으로 말미암아 우리사회의 불평등, 부조리와 같은 문제가 생겼다고 설명하며 비판적인 관점으로 바라보고 있다. 제시문(나)는 경쟁보다는 양보하며 상부상조할 수 있는 공생을 지향해야한다고 설명한다. ",3
 (가)와 (나) 두 제시문은 공통적으로 경쟁은 불가피한 것이라고 바라보고 있다. 반면 경쟁의 기능에 대해서는 입장 차이를 보인다.   (가)는 경쟁이 약육강식을 대변하는 것이 아닌 긍정적 상호작용임을 역설하고 있다. 또 한 인간 사회는 계속해서 경쟁 사회를 살아오고 있다고 말하며 공정한 경쟁을 추구해야 한다고 말한다.  반대로 (나)는 ‘진화론’을 예시로 들며 이는 경쟁을 옹호하는 것이 아닌 공존의 논리를 바탕으로 하고 있다고 바라본다. 이때의 경쟁은 생물 종의 다양성과 공생을 이끌어 내어 현재의 생물의 진화의 토대가 되었다고 강조한다. ,5
두 입장 모두 경쟁이 피할 수 없는 존재라는 사실은 인정하지만 (가)에서는 경쟁이란 인간의 본능이며 의욕과 노력을 한층 더 이끄는 긍정적인 상호작용이 될 수 있고 배움과 활용하는 지혜 또한 얻을 수 있기 때문에 경쟁에 대해 긍정적인 반응을 보여주고 있다. 반면 (나)는 경쟁이 아닌 공존이 태생부터 바탕을 두고 있었고 경쟁을 하기보다 서로 상부상조 하고 공존하는 방식을 찾도록 노력해야한다고 주장하며 경쟁을 부정적으로 바라보고 있다.,2
"제시문 (가)와 (나)는 경쟁에 대하여 서로 다른 견해를 제시한다.
먼저(가)에서 말하는 경쟁은 인간의 본성이고 경쟁을 이용하여 원하는 것을 얻는 긍정적인 힘이 존재한다고 바라본다. 또한 긍정적 상호작용의 산물이며 인간이
여태껏 진화할 수 있었던 것은 모두 경쟁사회에서 성장했음을 주장한다.
반면에 (나)는 다양한 생물이 진화할 수 있었던 이유는 환경에 적응한 생물이 경쟁이 아닌 공생을 택했기에 가능했다고 본다. 이에 다윈은 어떠한 생물이 진화하기 위해서는 공생을 통해 외부의 힘이 작용하지 않는 것이고 모두의 결속이 중시될 때 진화함을 일깨운다.
따라서 (가)는 경쟁을 긍정적으로 바라보고 있고 (나)는 경쟁이 아닌 공생을 중시한다는 점에서 두 주장은 차이가 있다.",3
"제시문 (가)와 (나)는 공통적으로 경쟁이 불가피함을 인정한다.그러나 경쟁과 공존의 구도 인식에서 차이를 갖는다.(가)는 경쟁이 주는 긍정적 효과에 주목한다.경쟁을 통해 사람들은 서로긍정적 영향을 주며 공존한다는 것이다.반대로 (나)는 진화론을 경쟁으로 보는 것은 잘못된 통념임을 지적하며 생물종이 공생을 중시한다고 주장한다.이는 공생과 경쟁을 대립구도에 입각하여 인식한 것이다.즉,(가)는 경쟁을 공생의 방법으로 보기에 긍정적으로 인식하는 반면,(나)는 경쟁을 공생과 반대되는 부정적인 것으로 인식한다는 점에서 차이점을 지닌다.",5
